in,out
0,459
0,259
0,335
0,242
0,129
0,586
1,1
1,727
1,903
1,731
1,4
1,190
1,501
1,60
1,105
1,289
1,376
1,650
1,740
1,294
1,918
1,832
1,119
1,835
1,1014
1,930
1,487
1,667
1,1022
1,316
1,82
1,43
1,229
1,680
1,45
1,686
1,447
1,774
1,507
1,55
1,153
1,243
1,423
1,425
1,248
1,249
1,250
1,697
1,251
1,57
1,702
1,166
1,437
1,352
1,337
1,762
1,802
1,403
1,804
1,978
1,979
1,647
1,941
1,980
1,911
2,729
2,548
2,195
2,12
2,477
2,780
2,24
2,838
2,394
2,581
2,225
2,585
2,405
2,768
2,949
2,240
2,508
2,509
2,336
2,284
2,426
2,427
2,345
2,611
2,965
2,704
2,792
2,73
2,262
2,451
2,536
3,632
3,185
3,3
3,523
3,1017
3,919
4,632
4,727
4,541
4,903
4,731
4,4
4,5
4,501
4,60
4,105
4,289
4,376
4,650
4,110
4,294
4,740
4,918
4,832
4,563
4,119
4,835
4,211
4,1014
4,27
4,930
4,82
4,487
4,29
4,667
4,1022
4,316
4,494
4,766
4,190
4,43
4,229
4,989
4,251
4,680
4,768
4,45
4,686
4,1027
4,774
4,240
4,507
4,55
4,153
4,659
4,243
4,423
4,425
4,248
4,249
4,250
4,697
4,430
4,699
4,57
4,702
4,166
4,70
4,968
4,352
4,437
4,337
4,802
4,585
4,804
4,978
4,979
4,647
4,941
4,980
4,762
5,632
5,633
5,541
5,187
5,110
5,916
5,113
5,1008
5,279
5,20
5,563
5,1013
5,753
5,27
5,29
5,989
5,494
5,675
5,43
5,1033
5,768
5,504
5,50
5,1027
5,833
5,240
5,331
5,659
5,158
5,507
5,534
5,430
5,699
5,164
5,255
5,70
5,968
5,71
5,784
5,585
5,770
6,632
6,656
6,350
6,235
6,754
6,6
6,99
6,486
6,993
6,311
6,717
6,110
6,451
7,274
7,633
7,173
7,95
7,905
7,734
7,76
7,198
7,739
7,653
7,18
7,749
7,565
7,836
7,569
7,931
7,842
7,574
7,128
7,43
7,504
7,860
7,861
7,50
7,507
7,333
7,598
7,601
7,524
7,972
7,355
7,974
7,444
7,621
7,451
8,488
8,887
8,629
8,8
8,849
9,364
9,9
9,540
9,741
9,381
9,383
9,19
9,21
9,22
9,386
9,845
9,30
9,34
9,48
9,49
9,416
9,61
9,789
9,434
9,793
9,72
9,808
9,454
9,457
9,814
9,458
9,820
9,470
9,476
9,481
9,489
9,491
9,852
9,496
9,854
9,855
9,857
9,143
9,502
9,506
9,864
9,868
9,515
9,385
9,873
9,165
9,522
9,880
9,884
9,529
9,890
9,181
9,535
9,537
9,901
9,186
9,553
9,199
9,921
9,924
9,927
9,575
9,579
9,584
9,585
9,232
9,945
9,591
9,592
9,239
9,954
9,597
9,964
9,257
9,982
9,632
9,637
9,638
9,988
9,280
9,283
9,998
9,292
9,651
9,652
9,302
9,305
9,1019
9,1020
9,948
9,1028
9,1032
9,1034
9,332
9,689
9,338
9,340
9,344
9,698
9,348
9,707
9,709
9,716
10,10
10,297
10,605
10,110
10,412
11,632
11,900
11,197
11,191
11,11
11,28
11,556
11,293
11,1005
11,745
11,208
11,216
11,310
11,311
11,938
11,137
11,403
11,147
11,236
11,672
11,659
11,421
11,157
11,877
11,879
11,968
11,77
11,799
11,43
11,892
11,869
11,627
11,200
11,911
12,729
12,284
12,195
12,394
12,780
12,24
12,1013
12,838
12,932
12,581
12,225
12,585
12,405
12,235
12,949
12,240
12,508
12,509
12,336
12,426
12,427
12,606
12,345
12,548
12,611
12,965
12,350
12,792
12,73
12,76
12,262
12,267
12,534
12,704
12,536
12,790
13,277
13,732
13,100
13,288
13,106
13,475
13,298
13,922
13,660
13,387
13,482
13,568
13,929
13,573
13,759
13,844
13,31
13,32
13,132
13,581
13,678
13,594
13,950
13,951
13,687
13,596
13,202
13,878
13,788
13,967
13,792
13,885
13,442
13,838
13,357
13,628
13,440
14,405
14,678
14,426
14,611
14,209
14,966
14,947
14,567
14,949
14,950
14,755
14,100
14,573
14,780
14,788
14,336
14,894
14,778
14,764
14,284
14,132
15,91
15,747
15,92
15,267
15,256
15,25
15,525
15,150
15,787
15,819
15,952
15,264
15,265
15,514
15,563
15,1001
15,314
15,636
15,1007
15,691
15,655
16,632
16,639
16,545
16,546
16,287
16,291
16,377
16,16
16,303
16,925
16,308
16,319
16,503
16,590
16,58
16,795
16,439
16,261
16,79
16,446
16,447
16,360
17,632
17,633
17,560
17,255
17,120
17,700
17,883
17,770
17,710
17,76
17,932
17,194
17,1023
17,37
17,643
17,267
17,554
17,246
17,451
17,721
17,875
18,633
18,173
18,95
18,905
18,734
18,76
18,198
18,739
18,653
18,749
18,565
18,836
18,569
18,931
18,842
18,574
18,128
18,585
18,768
18,504
18,861
18,50
18,43
18,507
18,333
18,598
18,601
18,524
18,972
18,355
18,974
18,444
18,621
18,447
18,451
19,364
19,540
19,741
19,381
19,383
19,19
19,21
19,22
19,386
19,845
19,30
19,34
19,48
19,49
19,416
19,61
19,789
19,434
19,793
19,72
19,808
19,454
19,457
19,814
19,458
19,820
19,470
19,476
19,481
19,489
19,491
19,852
19,496
19,854
19,855
19,857
19,143
19,502
19,506
19,864
19,868
19,515
19,385
19,873
19,165
19,522
19,880
19,884
19,529
19,890
19,181
19,535
19,537
19,901
19,186
19,553
19,199
19,921
19,924
19,927
19,575
19,579
19,584
19,585
19,232
19,945
19,591
19,592
19,239
19,954
19,597
19,964
19,257
19,982
19,632
19,637
19,638
19,988
19,280
19,283
19,998
19,292
19,651
19,652
19,302
19,305
19,1019
19,1020
19,948
19,1028
19,1032
19,1034
19,332
19,689
